Class,Event
Other,other
Tornado,Tornado
Tornado,tornado f2
Tornado,waterspout/tornado
Tornado,tornado f3
Tornado,waterspout tornado
Tornado,waterspout
Tornado,funnel cloud
Hurricane,hurricane/typhoon
Hurricane,hurricane
Hurricane,hurricane erin
Hurricane,hurricane-generated swells
Hurricane,hurricane edouard
Hurricane,hurricane opal
Hurricane,hurricane opal/high winds
Hurricane,hurricane felix
Hurricane,Typhoon
Wind,dust devil
Wind,tstm wind
Wind,thunderstorm wind
Wind,high wind
Wind,thunderstorm winds
Wind,strong wind
Wind,high winds
Wind,wind
Wind,tstm wind/hail
Wind,marine strong wind
Wind,marine thunderstorm wind
Wind,strong winds
Wind,"tornadoes, tstm wind, hail"
Wind,high wind and seas
Wind,marine tstm wind
Wind,winter storm high winds
Wind,gusty winds
Wind,thunderstorm  winds
Wind,high winds/snow
Wind,non-severe wind damage
Wind,high wind/seas
Wind,thunderstorm windss
Wind,heavy surf and wind
Wind,tstm wind (g45)
Wind,gusty wind
Wind,hurricane opal/high winds
Wind,marine high wind
Wind,winds
Wind,dry mircoburst winds
Wind,high wind 48
Wind,high wind/heavy snow
Wind,non tstm wind
Wind,rain/wind
Wind,strong winds
Wind,thunderstorm wind (g40)
Wind,thunderstorm wind g52
Wind,thunderstorm winds 13
Wind,thunderstorm winds/hail
Wind,thunderstorms winds
Wind,thundertorm winds
Wind,tstm wind (g35)
Wind,tstm wind (g40)
Wind,whirlwind
Wind,wind storm
Fire,wildfire
Fire,wild/forest fire
Fire,wild fires
Fire,brush fire
Storm,ice storm
Storm,winter storm
Storm,dust storm
Storm,tropical storm
Storm,storm surge
Storm,tropical storm gordon
Storm,winter storms
Storm,storm surge/tide
Storm,winter storm high winds
Storm,glaze/ice storm
Storm,coastal storm
Storm,ice storm/flash flood
Storm,coastal storm
Storm,coastalstorm
Storm,wind storm
Storm,glaze
Storm,hail
Storm,sleet
Storm,small hail
Storm,lightning
Storm,lightning injury
Storm,lightning.
Storm,heavy rain
Storm,freezing rain
Storm,excessive rainfall
Storm,rain/snow
Storm,heavy rains
Storm,torrential rainfall
Storm,flood & heavy rain
Storm,freezing rain/snow
Storm,blizzard
Storm,heavy snow/blizzard/avalanche
Cold,extreme cold
Cold,extreme cold/wind chill
Cold,cold/wind chill
Cold,cold
Cold,cold and snow
Cold,cold weather
Cold,high winds/cold
Cold,cold
Cold,cold wave
Cold,cold temperature
Cold,extreme cold
Cold,fog and cold temperatures
Cold,unseasonably cold
Cold,cold/winds
Cold,extended cold
Cold,record cold
Cold,snow/ bitter cold
Cold,winter weather mix
Cold,wintry mix
Cold,winter weather
Cold,winter weather/mix
Cold,hypothermia/exposure
Snow,heavy snow
Snow,snow squall
Snow,snow/high winds
Snow,snow
Snow,blowing snow
Snow,cold and snow
Snow,heavy snow/ice
Snow,snow and ice
Snow,light snow
Snow,blowing snow
Snow,excessive snow
Snow,falling snow/ice
Snow,heavy snow and high winds
Snow,heavy snow shower
Snow,snow
Snow,thundersnow
Snow,snow squalls
Flood,flood
Flood,flash flood
Flood,flood/flash flood
Flood,flash flooding
Flood,flash flood/flood
Flood,flooding
Flood,coastal flood
Flood,coastal flooding/erosion
Flood,flash flooding/flood
Flood,river flood
Flood,coastal flooding
Flood,flash floods
Flood,river flooding
Flood,coastal flooding
Flood,flood/river flood
Flood,minor flooding
Flood,river flooding
Flood,tidal flooding
Flood,urban/sml stream fld
Flood,urban and small stream floodin
Flood,rapidly rising water
Flood,drowning
Flood,high water
Heat,excessive heat
Heat,heat
Heat,heat wave
Heat,extreme heat
Heat,heat wave
Heat,record heat
Heat,heat wave drought
Heat,record/excessive heat
Heat,heat waves
Heat,drought/excessive heat
Heat,unseasonably warm and dry
Heat,unseasonably warm
Heat,warm weather
Heat,hyperthermia/exposure
Heat,drought
Heat,dry microburst
Surf,high surf
Surf,heavy surf/high surf
Surf,heavy surf
Surf,rip currents/heavy surf
Surf,rough surf
Surf,hazardous surf
Surf,high swells
Surf,high waves
Surf,rogue wave
Surf,marine accident
Surf,marine mishap
Surf,rough seas
Surf,high seas
Surf,heavy seas
Surf,rip current
Surf,rip currents
Surf,tsunami
Landslide,Landslides
Landslide,Landslide
Landslide,Mudslide
Landslide,avalanche
Ice,black ice
Ice,ice
Ice,ice on road
Ice,ice roads
Ice,frost
Ice,freezing drizzle
Ice,freezing spray
Fog,dense fog
Fog,fog
